Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
6.3,0,0,1
7,1,0,0
8,0,0,0
9,0,0,0
10,0,0,0
10.2,1,0,0
11,0,1,0
11.2,2,0,0
12,2,5,2
12.2,2,0,2
13,8,12,4
13.2,4,0,0
14,35,18,13
14.2,4,2,1
15,30,29,17
15.2,2,0,3
16,33,29,33
16.2,3,1,0
16.3,0,0,2
17,65,45,36
17.2,1,0,0
17.3,1,1,2
18,82,53,52
18.2,0,0,0
19,87,52,42
19.2,0,3,3
20,67,42,23
20.2,2,7,2
21,33,18,8
21.2,7,17,8
22,10,10,7
22.2,3,27,10
23,5,2,0
23.2,12,26,11
24,0,1,0
24.2,9,16,11
25,0,0,0
25.2,21,30,11
26,1,0,0
26.2,43,30,35
27,0,0,1
27.2,29,68,36
27.3,0,0,1
28,0,0,0
28.2,31,55,32
28.3,1,1,0
29,0,0,0
29.2,16,40,29
30,0,0,1
30.2,11,41,19
31,1,2,0
31.2,11,17,6
32,0,1,0
32.2,3,9,5
33,0,1,1
33.2,2,3,2
34,2,6,0
34.2,0,1,0
35,0,0,0
36,1,0,0